Провод,Наружный диаметр,Минимальный радиус изгиба,Диапазон рабочих температур,Ссылка,Расшифровка
"H05V-K 0,5","2,5 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H05V-K+0%2C5,"H: провод соответствует гармонизированным стандартам (Harmonised)  05: номинальное напряжение 300/500 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  0,5: номинальное сечение жилы 0,5 мм2  "
"H05V-K 0,75","2,7 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H05V-K+0%2C75,"H: провод соответствует гармонизированным стандартам (Harmonised)  05: номинальное напряжение 300/500 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  0,75: номинальное сечение жилы 0,75 мм2  "
"H05V-K 1,0","2,8 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H05V-K+1%2C0,"H: провод соответствует гармонизированным стандартам (Harmonised)  05: номинальное напряжение 300/500 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  1,0: номинальное сечение жилы 1,0 мм2  "
"H05V-U 0,75","2,5 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H05V-U+0%2C75,"H: провод соответствует гармонизированным стандартам (Harmonised)  05: номинальное напряжение 300/500 В  V: изоляция из ПВХ пластиката  U: однопроволочная жила (1 класс по IEC 60228:2004)  0,75: номинальное сечение жилы 0,75 мм2  "
"H07V-K 1,5","3,4 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+1%2C5,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  1,5: номинальное сечение жилы 1,5 мм2  "
H07V-K 10,"6,8 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+10,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  10: номинальное сечение жилы 10 мм2  
H07V-K 120,"20,2 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+120,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  120: номинальное сечение жилы 120 мм2  
H07V-K 150,"22,5 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+150,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  150: номинальное сечение жилы 150 мм2  
H07V-K 16,"8,1 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+16,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  16: номинальное сечение жилы 16 мм2  
H07V-K 185,"24,9 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+185,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  185: номинальное сечение жилы 185 мм2  
"H07V-K 2,5","4,1 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+2%2C5,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  2,5: номинальное сечение жилы 2,5 мм2  "
H07V-K 240,"28,4 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+240,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  240: номинальное сечение жилы 240 мм2  
H07V-K 25,"10,2 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+25,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  25: номинальное сечение жилы 25 мм2  
H07V-K 35,"11,7 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+35,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  35: номинальное сечение жилы 35 мм2  
"H07V-K 4,0","4,8 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+4%2C0,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  4,0: номинальное сечение жилы 4,0 мм2  "
"H07V-K 6,0","5,3 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+6%2C0,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  6,0: номинальное сечение жилы 6,0 мм2  "
H07V-K 70,"16,0 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+70,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  70: номинальное сечение жилы 70 мм2  
H07V-K 95,"18,2 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-K+95,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  K: гибкая жила (5 класс по IEC 60228:2004)  95: номинальное сечение жилы 95 мм2  
H07V-R 16,"7,8 мм",6 наружных диаметров,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-R+16,H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  R: многопроволочная жила (2 класс по IEC 60228:2004)  16: номинальное сечение жилы 16 мм2  
"H07V-U 1,5","3,2 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-U+1%2C5,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  U: однопроволочная жила (1 класс по IEC 60228:2004)  1,5: номинальное сечение жилы 1,5 мм2  "
"H07V-U 2,5","3,9 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-U+2%2C5,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  U: однопроволочная жила (1 класс по IEC 60228:2004)  2,5: номинальное сечение жилы 2,5 мм2  "
"H07V-U 4,0","4,4 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-U+4%2C0,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  U: однопроволочная жила (1 класс по IEC 60228:2004)  4,0: номинальное сечение жилы 4,0 мм2  "
"H07V-U 6,0","5,0 мм",4 наружных диаметра,−30...+70 °C,https://bystrokabel.ru/catalog/search?query=H07V-U+6%2C0,"H: провод соответствует гармонизированным стандартам (Harmonised)  07: номинальное напряжение 450/750 В  V: изоляция из ПВХ пластиката  U: однопроволочная жила (1 класс по IEC 60228:2004)  6,0: номинальное сечение жилы 6,0 мм2  "
АПВ 10,"6,4 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+10,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  10: номинальное сечение жилы 10 мм2  
АПВ 120,"19,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+120,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  120: номинальное сечение жилы 120 мм2  
АПВ 16,"8,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+16,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  16: номинальное сечение жилы 16 мм2  
"АПВ 2,5","3,9 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+2%2C5,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  2,5: номинальное сечение жилы 2,5 мм2  "
АПВ 25,"9,8 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+25,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  25: номинальное сечение жилы 25 мм2  
АПВ 35,"11,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+35,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  35: номинальное сечение жилы 35 мм2  
"АПВ 4,0","4,4 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+4%2C0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  4,0: номинальное сечение жилы 4,0 мм2  "
"АПВ 5,0","4,6 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+5%2C0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  5,0: номинальное сечение жилы 5,0 мм2  "
АПВ 50,"13,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+50,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  50: номинальное сечение жилы 50 мм2  
"АПВ 6,0","4,9 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+6%2C0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  6,0: номинальное сечение жилы 6,0 мм2  "
АПВ 70,"15,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+70,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  70: номинальное сечение жилы 70 мм2  
АПВ 95,"17,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%92+95,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  95: номинальное сечение жилы 95 мм2  
АПВ-ХЛ 10,"6,4 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-10,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  10: номинальное сечение жилы 10 мм2  
АПВ-ХЛ 120,"19,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-120,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  120: номинальное сечение жилы 120 мм2  
АПВ-ХЛ 150 *,"20,9 мм",10 наружных диаметров,−60...+70 °C,,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  150: номинальное сечение жилы 150 мм2  
АПВ-ХЛ 16,"8,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-16,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  16: номинальное сечение жилы 16 мм2  
АПВ-ХЛ 185 *,"23,3 мм",10 наружных диаметров,−60...+70 °C,,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  185: номинальное сечение жилы 185 мм2  
"АПВ-ХЛ 2,0","3,7 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-2-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2,0: номинальное сечение жилы 2,0 мм2  "
"АПВ-ХЛ 2,5","3,9 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-2-5,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2,5: номинальное сечение жилы 2,5 мм2  "
АПВ-ХЛ 240 *,"26,6 мм",10 наружных диаметров,−60...+70 °C,,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  240: номинальное сечение жилы 240 мм2  
АПВ-ХЛ 25,"9,8 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-25,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  25: номинальное сечение жилы 25 мм2  
"АПВ-ХЛ 3,0","4,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-3-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3,0: номинальное сечение жилы 3,0 мм2  "
АПВ-ХЛ 300 *,"29,6 мм",10 наружных диаметров,−60...+70 °C,,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  300: номинальное сечение жилы 300 мм2  
АПВ-ХЛ 35,"11,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-35,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  35: номинальное сечение жилы 35 мм2  
"АПВ-ХЛ 4,0","4,4 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-4-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  4,0: номинальное сечение жилы 4,0 мм2  "
АПВ-ХЛ 400 *,"33,2 мм",10 наружных диаметров,−60...+70 °C,,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  400: номинальное сечение жилы 400 мм2  
"АПВ-ХЛ 5,0","4,6 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-5-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  5,0: номинальное сечение жилы 5,0 мм2  "
АПВ-ХЛ 50,"13,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-50,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  50: номинальное сечение жилы 50 мм2  
"АПВ-ХЛ 6,0","4,9 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-6-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  6,0: номинальное сечение жилы 6,0 мм2  "
АПВ-ХЛ 70,"15,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-70,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  70: номинальное сечение жилы 70 мм2  
"АПВ-ХЛ 8,0","5,8 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-8-0,"А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  8,0: номинальное сечение жилы 8,0 мм2  "
АПВ-ХЛ 95,"17,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/apv-hl/apv-hl-95,А: алюминиевая жила  П: провод  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  95: номинальное сечение жилы 95 мм2  
"АППВ 2х2,5","3,9х9,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+2%D1%852%2C5,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  2: 2 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АППВ 2х4,0","4,4х10,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+2%D1%854%2C0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  2: 2 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АППВ 2х6,0","4,9х11,0 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+2%D1%856%2C0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  2: 2 жилы  6,0: номинальное сечение жилы 6,0 мм2  "
"АППВ 3х2,5","3,9х14,1 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+3%D1%852%2C5,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  3: 3 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АППВ 3х4,0","4,4х15,6 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+3%D1%854%2C0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  3: 3 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АППВ 3х6,0","4,9х17,1 мм",10 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%9F%D0%92+3%D1%856%2C0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  3: 3 жилы  6,0: номинальное сечение жилы 6,0 мм2  "
"АППВ-ХЛ 2х2,0","3,7х8,6 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h2-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  2,0: номинальное сечение жилы 2,0 мм2  "
"АППВ-ХЛ 2х2,5","3,9х9,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h2-5,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АППВ-ХЛ 2х3,0","4,0х9,2 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h3-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  3,0: номинальное сечение жилы 3,0 мм2  "
"АППВ-ХЛ 2х4,0","4,4х10,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h4-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АППВ-ХЛ 2х5,0","4,6х10,4 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h5-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  5,0: номинальное сечение жилы 5,0 мм2  "
"АППВ-ХЛ 2х6,0","4,9х11,0 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-2h6-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  2: 2 жилы  6,0: номинальное сечение жилы 6,0 мм2  "
"АППВ-ХЛ 3х2,0","3,7х13,5 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h2-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  2,0: номинальное сечение жилы 2,0 мм2  "
"АППВ-ХЛ 3х2,5","3,9х14,1 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h2-5,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АППВ-ХЛ 3х3,0","4,0х14,4 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h3-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  3,0: номинальное сечение жилы 3,0 мм2  "
"АППВ-ХЛ 3х4,0","4,4х15,6 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h4-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АППВ-ХЛ 3х5,0","4,6х16,2 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h5-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  5,0: номинальное сечение жилы 5,0 мм2  "
"АППВ-ХЛ 3х6,0","4,9х17,1 мм",10 наружных диаметров,−60...+70 °C,https://bystrokabel.ru/item/appv-hl/appv-hl-3h6-0,"А: алюминиевая жила  П: провод  П: плоский  В: изоляция из ПВХ пластиката  ХЛ: холодостойкое исполнение  3: 3 жилы  6,0: номинальное сечение жилы 6,0 мм2  "
"АПУНП 2х2,5","4,2х6,9 мм",10 наружных диаметров,−15...+50 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%A3%D0%9D%D0%9F+2%D1%852%2C5,"А: алюминиевая жила  П: провод  У: установочный  Н: для неподвижной прокладки  П: плоский  2: 2 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АПУНП 2х4,0","5,0х8,5 мм",10 наружных диаметров,−15...+50 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%A3%D0%9D%D0%9F+2%D1%854%2C0,"А: алюминиевая жила  П: провод  У: установочный  Н: для неподвижной прокладки  П: плоский  2: 2 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АПУНП 3х2,5","4,2х9,7 мм",10 наружных диаметров,−15...+50 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%A3%D0%9D%D0%9F+3%D1%852%2C5,"А: алюминиевая жила  П: провод  У: установочный  Н: для неподвижной прокладки  П: плоский  3: 3 жилы  2,5: номинальное сечение жилы 2,5 мм2  "
"АПУНП 3х4,0","5,0х12,1 мм",10 наружных диаметров,−15...+50 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%A3%D0%9D%D0%9F+3%D1%854%2C0,"А: алюминиевая жила  П: провод  У: установочный  Н: для неподвижной прокладки  П: плоский  3: 3 жилы  4,0: номинальное сечение жилы 4,0 мм2  "
"АПУНП 3х6,0","5,4х13,5 мм",10 наружных диаметров,−15...+50 °C,https://bystrokabel.ru/catalog/search?query=%D0%90%D0%9F%D0%A3%D0%9D%D0%9F+3%D1%856%2C0,"А: алюминиевая жила  П: провод  У: установочный  Н: для неподвижной прокладки  П: плоский  3: 3 жилы  6,0: номинальное сечение жилы 6,0 мм2  "
"МГТФ 0,03","0,6 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C03,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,03: номинальное сечение жилы 0,03 мм2  "
"МГТФ 0,05","0,7 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C05,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,05: номинальное сечение жилы 0,05 мм2  "
"МГТФ 0,07","0,8 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C07,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,07: номинальное сечение жилы 0,07 мм2  "
"МГТФ 0,1","0,9 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C1,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,1: номинальное сечение жилы 0,1 мм2  "
"МГТФ 0,12","0,9 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C12,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,12: номинальное сечение жилы 0,12 мм2  "
"МГТФ 0,14","0,9 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C14,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,14: номинальное сечение жилы 0,14 мм2  "
"МГТФ 0,2","1,1 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C2,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,2: номинальное сечение жилы 0,2 мм2  "
"МГТФ 0,35","1,2 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C35,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,35: номинальное сечение жилы 0,35 мм2  "
"МГТФ 0,5","1,3 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C5,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,5: номинальное сечение жилы 0,5 мм2  "
"МГТФ 0,75","1,8 мм","2,5 наружных диаметра",−60...+220 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A2%D0%A4+0%2C75,"М: провод монтажный  Г: гибкий  Т: теплостойкий  Ф: изоляция из фторопласта  0,75: номинальное сечение жилы 0,75 мм2  "
